2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050,growth_2017_2050,annual_growth_2017_2050,growthrates
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,capita,,,
1.023908500000000000e+07,1.026341400000000000e+07,1.030972500000000000e+07,1.035584400000000000e+07,1.039642100000000000e+07,1.044585200000000000e+07,1.051138200000000000e+07,1.058453400000000000e+07,1.066686600000000000e+07,1.075308000000000000e+07,1.083990500000000000e+07,1.100063800000000000e+07,1.109485000000000000e+07,1.116164200000000000e+07,1.118084000000000000e+07,1.123727400000000000e+07,1.131111700000000000e+07,1.135172700000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.044596433639526367e-03
9.593180000000000000e+05,9.644050000000000000e+05,9.783840000000000000e+05,9.920410000000000000e+05,9.998990000000000000e+05,1.006749000000000000e+06,1.018804000000000000e+06,1.031215000000000000e+06,1.048491000000000000e+06,1.068532000000000000e+06,1.089538000000000000e+06,1.136778000000000000e+06,1.159448000000000000e+06,1.174624000000000000e+06,1.172751000000000000e+06,1.184101000000000000e+06,1.201285000000000000e+06,1.199095000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.271144300699234009e-02
9.593180000000000000e+05,9.644050000000000000e+05,9.783840000000000000e+05,9.920410000000000000e+05,9.998990000000000000e+05,1.006749000000000000e+06,1.018804000000000000e+06,1.031215000000000000e+06,1.048491000000000000e+06,1.068532000000000000e+06,1.089538000000000000e+06,1.136778000000000000e+06,1.159448000000000000e+06,1.174624000000000000e+06,1.172751000000000000e+06,1.184101000000000000e+06,1.201285000000000000e+06,1.199095000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.271144300699234009e-02
9.593180000000000000e+05,9.644050000000000000e+05,9.783840000000000000e+05,9.920410000000000000e+05,9.998990000000000000e+05,1.006749000000000000e+06,1.018804000000000000e+06,1.031215000000000000e+06,1.048491000000000000e+06,1.068532000000000000e+06,1.089538000000000000e+06,1.136778000000000000e+06,1.159448000000000000e+06,1.174624000000000000e+06,1.172751000000000000e+06,1.184101000000000000e+06,1.201285000000000000e+06,1.199095000000000000e+06,1.213189875000000000e+06,1.227017750000000000e+06,1.240572875000000000e+06,1.253849250000000000e+06,1.266840875000000000e+06,1.279541625000000000e+06,1.291945375000000000e+06,1.304046125000000000e+06,1.315837750000000000e+06,1.327314375000000000e+06,1.338470250000000000e+06,1.349548500000000000e+06,1.360546250000000000e+06,1.371460000000000000e+06,1.382284375000000000e+06,1.393013750000000000e+06,1.403642125000000000e+06,1.414163750000000000e+06,1.424572875000000000e+06,1.434863625000000000e+06,1.445030250000000000e+06,1.455066500000000000e+06,1.464966750000000000e+06,1.474724875000000000e+06,1.484334000000000000e+06,1.493787750000000000e+06,1.503079125000000000e+06,1.512201500000000000e+06,1.521148000000000000e+06,1.529911500000000000e+06,1.538485250000000000e+06,1.546861625000000000e+06,1.555033875000000000e+06,2.968395948410034180e-01,7.907748222351074219e-03,1.271144300699234009e-02
5.940251000000000000e+06,5.952552000000000000e+06,5.972781000000000000e+06,5.995553000000000000e+06,6.016024000000000000e+06,6.043161000000000000e+06,6.078600000000000000e+06,6.117440000000000000e+06,6.161600000000000000e+06,6.208877000000000000e+06,6.251983000000000000e+06,6.325740000000000000e+06,6.372575000000000000e+06,6.404726000000000000e+06,6.421947000000000000e+06,6.453009000000000000e+06,6.491999000000000000e+06,6.526061000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.600189324468374252e-03
1.643972000000000000e+06,1.645652000000000000e+06,1.652450000000000000e+06,1.661119000000000000e+06,1.668812000000000000e+06,1.676858000000000000e+06,1.688493000000000000e+06,1.700570000000000000e+06,1.715707000000000000e+06,1.731174000000000000e+06,1.744862000000000000e+06,1.773267000000000000e+06,1.791024000000000000e+06,1.802309000000000000e+06,1.806634000000000000e+06,1.817033000000000000e+06,1.828927000000000000e+06,1.838863000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.640964653342962265e-03
9.321030000000000000e+05,9.315670000000000000e+05,9.353810000000000000e+05,9.406810000000000000e+05,9.449210000000000000e+05,9.488580000000000000e+05,9.546800000000000000e+05,9.611310000000000000e+05,9.695630000000000000e+05,9.776120000000000000e+05,9.853320000000000000e+05,1.005002000000000000e+06,1.016926000000000000e+06,1.023725000000000000e+06,1.024987000000000000e+06,1.030055000000000000e+06,1.036031000000000000e+06,1.041811000000000000e+06,1.049020250000000000e+06,1.056153625000000000e+06,1.063208875000000000e+06,1.070183625000000000e+06,1.077075375000000000e+06,1.083881500000000000e+06,1.090599500000000000e+06,1.097226750000000000e+06,1.103760625000000000e+06,1.110198500000000000e+06,1.116538125000000000e+06,1.122792375000000000e+06,1.128959125000000000e+06,1.135035500000000000e+06,1.141017250000000000e+06,1.146899750000000000e+06,1.152678250000000000e+06,1.158348125000000000e+06,1.163904625000000000e+06,1.169343250000000000e+06,1.174659375000000000e+06,1.179848000000000000e+06,1.184904625000000000e+06,1.189824625000000000e+06,1.194602500000000000e+06,1.199233250000000000e+06,1.203711375000000000e+06,1.208031875000000000e+06,1.212189250000000000e+06,1.216178250000000000e+06,1.219993750000000000e+06,1.223630000000000000e+06,1.227082125000000000e+06,1.778355836868286133e-01,4.972219467163085938e-03,6.607463117688894272e-03
3.056700000000000000e+05,3.064130000000000000e+05,3.074330000000000000e+05,3.086650000000000000e+05,3.098650000000000000e+05,3.114720000000000000e+05,3.142430000000000000e+05,3.162240000000000000e+05,3.191070000000000000e+05,3.217880000000000000e+05,3.243110000000000000e+05,3.279280000000000000e+05,3.301210000000000000e+05,3.321770000000000000e+05,3.335920000000000000e+05,3.357940000000000000e+05,3.376800000000000000e+05,3.406710000000000000e+05,3.430135000000000000e+05,3.453316562500000000e+05,3.476247500000000000e+05,3.498920000000000000e+05,3.521325937500000000e+05,3.543456875000000000e+05,3.565304687500000000e+05,3.586860625000000000e+05,3.608116562500000000e+05,3.629064062500000000e+05,3.649695312500000000e+05,3.670046875000000000e+05,3.690111875000000000e+05,3.709880937500000000e+05,3.729340000000000000e+05,3.748474062500000000e+05,3.767267500000000000e+05,3.785705000000000000e+05,3.803771562500000000e+05,3.821452187500000000e+05,3.838731562500000000e+05,3.855593750000000000e+05,3.872024062500000000e+05,3.888007187500000000e+05,3.903525000000000000e+05,3.918561562500000000e+05,3.933098750000000000e+05,3.947120000000000000e+05,3.960607812500000000e+05,3.973544687500000000e+05,3.985913750000000000e+05,3.997696562500000000e+05,4.008877187500000000e+05,1.767591238021850586e-01,4.944443702697753906e-03,6.552225910127162933e-03
