NUTS3_addit_demolition,gfa_sfh_1977,gfa_sfh_77_90,gfa_sfh_90_17,gfa_sfh_2017__,gfa_mfh_1977,gfa_mfh_77_90,gfa_mfh_90_17,gfa_mfh_2017__,gfa_nres_1977,gfa_nres_77_90,gfa_nres_90_17,gfa_nres_2017__,XXX,gfa_total_2017,gfa_res_2017,gfa_nres_2017,gfa_total,gfa_re,gfa_nres,gfa_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.671198730468750000e+02,4.156998901367187500e+02,1.514199981689453125e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.424259948730468750e+01,4.175120162963867188e+01,3.249140167236328125e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.424259948730468750e+01,4.175120162963867188e+01,3.249140167236328125e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.109791755676269531e+00,6.903963685035705566e-01,8.775359392166137695e-01,5.247095823287963867e-01,2.556176757812500000e+01,1.937404990196228027e+00,2.462560176849365234e+00,1.474775910377502441e+00,2.688160705566406250e+01,2.042356252670288086e+00,2.594947576522827148e+00,1.663343906402587891e+00,0.000000000000000000e+00,7.424259948730468750e+01,4.175120162963867188e+01,3.249140167236328125e+01,7.582120513916015625e+01,4.263894271850585938e+01,3.318225479125976562e+01,3.662829399108886719e+00
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.173694152832031250e+02,2.359181060791015625e+02,8.145130157470703125e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.148800659179687500e+01,6.583730316162109375e+01,2.565069961547851562e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.563685798645019531e+01,2.779404401779174805e+00,3.338489532470703125e+00,7.891869544982910156e-01,1.060035705566406250e+01,1.884353041648864746e+00,2.263396024703979492e+00,5.360110998153686523e-01,1.138107299804687500e+01,2.028017759323120117e+00,2.435009717941284180e+00,6.265333890914916992e-01,0.000000000000000000e+00,5.360660171508789062e+01,3.734590148925781250e+01,1.626070022583007812e+01,5.429869079589843750e+01,3.782805633544921875e+01,1.647063446044921875e+01,1.951731443405151367e+00
1.000000000000000000e+00,6.471746444702148438e+00,1.318406462669372559e+00,1.999504089355468750e+00,3.796666860580444336e-01,1.384704828262329102e+00,2.821139097213745117e-01,4.278558790683746338e-01,8.136744052171707153e-02,2.906111001968383789e+00,5.935075283050537109e-01,8.997667431831359863e-01,1.844556927680969238e-01,0.000000000000000000e+00,1.664319992065429688e+01,1.213679981231689453e+01,4.506400108337402344e+00,1.692920684814453125e+01,1.234536552429199219e+01,4.583841323852539062e+00,6.454898118972778320e-01
