NUTS3_addit_demolition,share_sfh_1977,share_sfh_77_90,share_sfh_90_17,share_sfh_2017__,share_mfh_1977,share_mfh_77_90,share_mfh_90_17,share_mfh_2017__,share_nres_1977,share_nres_77_90,share_nres_90_17,share_nres_2017__
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,of_initial_area,of_initial_area,of_initial_area,of_initial_area,of_initial_area,of_initial_area,of_initial_area,of_initial_area,of_initial_area,of_initial_area,of_initial_area,of_initial_area
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.304883241653442383e-01,6.293953955173492432e-02,7.999999821186065674e-02,4.783481359481811523e-02,8.304128050804138184e-01,6.293953955173492432e-02,7.999999821186065674e-02,4.791033267974853516e-02,8.273452520370483398e-01,6.285835802555084229e-02,7.986567169427871704e-02,5.119335651397705078e-02
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.025718688964843750e-01,1.248800382018089294e-01,1.500000059604644775e-01,3.545856475830078125e-02,7.025079131126403809e-01,1.248800382018089294e-01,1.500000059604644775e-01,3.552258014678955078e-02,6.999128460884094238e-01,1.247189640998840332e-01,1.497481465339660645e-01,3.853052854537963867e-02
1.000000000000000000e+00,6.473351716995239258e-01,1.318733394145965576e-01,2.000000029802322388e-01,3.797608613967895508e-02,6.472762823104858398e-01,1.318733394145965576e-01,2.000000029802322388e-01,3.803497552871704102e-02,6.448852419853210449e-01,1.317032426595687866e-01,1.996641904115676880e-01,4.093194007873535156e-02
1.000000000000000000e+00,5.373903512954711914e-01,1.725615113973617554e-01,2.727272808551788330e-01,3.355360031127929688e-02,5.373414754867553711e-01,1.725615113973617554e-01,2.727272808551788330e-01,3.360247611999511719e-02,5.353565216064453125e-01,1.723389327526092529e-01,2.722693681716918945e-01,3.626787662506103516e-02
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.622493028640747070e-01,1.622204035520553589e-01,2.574257552623748779e-01,3.167867660522460938e-02,5.621981620788574219e-01,1.622204035520553589e-01,2.574257552623748779e-01,3.172981739044189453e-02,5.601214170455932617e-01,1.620111763477325439e-01,2.569935321807861328e-01,3.444802761077880859e-02
1.000000000000000000e+00,4.971301555633544922e-01,1.968109458684921265e-01,2.899999916553497314e-01,2.733802795410156250e-02,4.970849156379699707e-01,1.968109458684921265e-01,2.899999916553497314e-01,2.738320827484130859e-02,4.952486753463745117e-01,1.965571045875549316e-01,2.895130515098571777e-01,2.996027469635009766e-02
1.000000000000000000e+00,5.922061204910278320e-01,1.463240832090377808e-01,2.424242496490478516e-01,2.413135766983032227e-02,5.921522378921508789e-01,1.463240832090377808e-01,2.424242496490478516e-01,2.418524026870727539e-02,5.899648070335388184e-01,1.461353451013565063e-01,2.420172095298767090e-01,2.696847915649414062e-02
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.531495451927185059e-01,1.158886775374412537e-01,2.099999934434890747e-01,3.780013322830200195e-02,6.530901193618774414e-01,1.158886775374412537e-01,2.099999934434890747e-01,3.785955905914306641e-02,6.506776213645935059e-01,1.157392039895057678e-01,2.096473872661590576e-01,4.077410697937011719e-02
1.000000000000000000e+00,6.092634201049804688e-01,1.434265822172164917e-01,2.277227789163589478e-01,3.095024824142456055e-02,6.092079877853393555e-01,1.434265822172164917e-01,2.277227789163589478e-01,3.100568056106567383e-02,6.069575548171997070e-01,1.432415843009948730e-01,2.273404151201248169e-01,3.382349014282226562e-02
1.000000000000000000e+00,6.342095732688903809e-01,1.177087053656578064e-01,2.277227789163589478e-01,2.719897031784057617e-02,6.341518759727478027e-01,1.177087053656578064e-01,2.277227789163589478e-01,2.725666761398315430e-02,6.318092942237854004e-01,1.175568774342536926e-01,2.273404151201248169e-01,3.013342618942260742e-02
1.000000000000000000e+00,6.793142557144165039e-01,1.088953912258148193e-01,1.899999976158142090e-01,3.679507970809936523e-02,6.792524456977844238e-01,1.088953912258148193e-01,1.899999976158142090e-01,3.685694932937622070e-02,6.767432689666748047e-01,1.087549328804016113e-01,1.896809786558151245e-01,3.982555866241455078e-02
1.000000000000000000e+00,6.946561932563781738e-01,1.048497855663299561e-01,1.782178282737731934e-01,3.314822912216186523e-02,6.945930123329162598e-01,1.048497855663299561e-01,1.782178282737731934e-01,3.321141004562377930e-02,6.920271515846252441e-01,1.047145426273345947e-01,1.779185831546783447e-01,3.621172904968261719e-02
1.000000000000000000e+00,5.939118862152099609e-01,1.493614763021469116e-01,2.376237660646438599e-01,3.443807363510131836e-02,5.938578248023986816e-01,1.493614763021469116e-01,2.376237660646438599e-01,3.449213504791259766e-02,5.916640758514404297e-01,1.491688340902328491e-01,2.372247874736785889e-01,3.727746009826660156e-02
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.548527479171752930e-01,1.422875523567199707e-01,1.818181872367858887e-01,4.202079772949218750e-02,6.547932028770446777e-01,1.422875523567199707e-01,1.818181872367858887e-01,4.208034276962280273e-02,6.523743271827697754e-01,1.421040296554565430e-01,1.815129071474075317e-01,4.498803615570068359e-02
1.000000000000000000e+00,6.382122039794921875e-01,1.291688531637191772e-01,2.121212184429168701e-01,3.001046180725097656e-02,6.381541490554809570e-01,1.291688531637191772e-01,2.121212184429168701e-01,3.006851673126220703e-02,6.357967853546142578e-01,1.290022432804107666e-01,2.117650508880615234e-01,3.294873237609863281e-02
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.081374883651733398e-01,1.478171944618225098e-01,2.244897931814193726e-01,2.443784475326538086e-02,6.080821752548217773e-01,1.478171944618225098e-01,2.244897931814193726e-01,2.449315786361694336e-02,6.058358550071716309e-01,1.476265341043472290e-01,2.241128534078598022e-01,2.730709314346313477e-02
1.000000000000000000e+00,6.560567021369934082e-01,1.128915622830390930e-01,2.099999934434890747e-01,3.199839591979980469e-02,6.559970378875732422e-01,1.128915622830390930e-01,2.099999934434890747e-01,3.205806016921997070e-02,6.535737514495849609e-01,1.127459481358528137e-01,2.096473872661590576e-01,3.497958183288574219e-02
1.000000000000000000e+00,6.822605729103088379e-01,1.140318810939788818e-01,1.818181872367858887e-01,1.895922422409057617e-02,6.821985244750976562e-01,1.140318810939788818e-01,1.818181872367858887e-01,1.902121305465698242e-02,6.796784400939941406e-01,1.138847991824150085e-01,1.815129071474075317e-01,2.199369668960571289e-02
1.000000000000000000e+00,6.638092398643493652e-01,1.348704397678375244e-01,1.800000071525573730e-01,2.721554040908813477e-02,6.637488603591918945e-01,1.348704397678375244e-01,1.800000071525573730e-01,2.727597951889038086e-02,6.612969636917114258e-01,1.346964836120605469e-01,1.796977818012237549e-01,3.020405769348144531e-02
1.000000000000000000e+00,5.814387798309326172e-01,1.698368489742279053e-01,2.300000041723251343e-01,2.714705467224121094e-02,5.813859105110168457e-01,1.698368489742279053e-01,2.300000041723251343e-01,2.719998359680175781e-02,5.792382359504699707e-01,1.696177870035171509e-01,2.296138256788253784e-01,2.995288372039794922e-02
