NUTS3_addit_demolition,gfa_sfh_1977,gfa_sfh_77_90,gfa_sfh_90_17,gfa_sfh_2017__,gfa_mfh_1977,gfa_mfh_77_90,gfa_mfh_90_17,gfa_mfh_2017__,gfa_nres_1977,gfa_nres_77_90,gfa_nres_90_17,gfa_nres_2017__,XXX,gfa_total_2017,gfa_res_2017,gfa_nres_2017,gfa_total,gfa_re,gfa_nres,gfa_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,686.03363,555.18195,130.85170,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,80.85072,55.76009,25.09063,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,80.85072,55.76009,25.09063,0.00000,0.00000,0.00000,0.00000
0.00000,6.51546,0.68942,1.38153,1.72966,32.25438,3.41416,6.84195,8.58182,17.31049,1.85240,3.69996,4.76936,0.00000,80.85072,55.76009,25.09063,89.04060,61.40838,27.63222,15.08084
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,386.23865,315.07687,71.16177,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,109.80567,87.92757,21.87811,0.00000,0.00000,0.00000,0.00000
0.00000,11.65385,4.82904,6.02701,2.98341,12.62781,5.23448,6.53336,3.24082,6.56529,2.75124,3.42262,1.74015,0.00000,63.47007,49.87719,13.59289,67.60907,53.12977,14.47930,7.96438
0.00000,4.91930,2.55049,3.86423,1.41828,1.75880,0.91220,1.38214,0.50827,1.58548,0.83131,1.25543,0.47143,0.00000,20.08793,16.20874,3.87919,21.45737,17.31373,4.14365,2.39798
