NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1577.35046,197.55742,199.53394,113.39882,4261.84521,615.58997,714.50098,478.42297,3863.74390,590.87402,742.45209,279.76157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2783.68677,848.31323,630.46222,204.80801,1591.24451,559.24426,477.63068,187.91316,1549.69275,576.63751,533.15790,106.26662,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1126.06384,404.60190,340.57681,102.46698,209.99986,87.01868,84.17587,31.04232,391.45016,171.73656,179.84569,30.17123,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1307.21753,708.63220,606.50140,128.41772,203.56578,127.26427,125.17146,33.20104,345.39233,228.61630,243.42668,30.52406,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1169.35522,567.66382,508.01953,103.86584,245.63567,137.51971,141.43015,36.08512,384.19577,227.72923,253.54675,30.40248,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,601.47260,388.26770,310.31662,54.82914,91.95255,68.45544,62.87378,14.00509,136.48558,107.57803,106.96643,11.70013,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,610.46533,263.00095,236.59898,43.98202,95.57981,47.48880,49.09470,11.32519,131.97858,69.42583,77.70104,9.00385,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1013.95264,330.47302,315.90359,87.74448,139.07501,52.27525,57.42521,19.55166,231.44064,92.10421,109.53378,18.03538,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,647.02710,265.00403,229.81552,51.73558,82.13271,38.79491,38.66246,10.75444,136.28445,68.15498,73.53171,10.05328,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,296.03775,99.26949,102.73969,21.29222,34.02173,13.15691,15.64820,3.99462,62.16904,25.45448,32.77456,4.09412,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1854.93127,531.97784,525.71490,159.26596,511.14633,169.05952,191.99248,70.92765,704.08087,246.55260,303.12134,53.05161,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,495.17050,136.52725,128.31863,37.93386,47.31665,15.04552,16.25046,5.83786,108.38796,36.48943,42.66656,7.26157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,730.92651,312.46555,282.74603,69.02878,133.31345,65.72508,68.34604,20.69151,203.34738,106.14230,119.49039,17.23830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2094.54639,764.85687,599.17102,203.37256,355.34091,149.64565,134.71707,55.94304,917.68201,409.16995,398.77191,71.25230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1659.45850,573.80792,559.90717,135.05292,325.54166,129.81816,145.57031,43.20862,547.64319,231.21677,280.68481,38.75173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,788.61975,333.32428,279.12466,44.74355,338.54257,165.02176,158.80362,31.47813,297.68262,153.62935,160.04997,16.61128,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,183.95161,59.37148,56.44448,14.46890,14.45992,5.38231,5.88031,1.84611,37.11123,14.62517,17.29795,2.58896,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,415.40567,129.64577,108.92200,22.81810,38.92318,14.00951,13.52596,3.45310,91.22154,34.76200,36.33390,4.44888,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1080.36548,379.74628,294.93115,72.95844,146.21788,59.27232,52.90137,15.98769,307.83533,132.11821,127.65562,17.79667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,309.43259,148.71266,120.83480,19.41126,325.94705,180.65823,168.69016,33.67089,120.55254,70.74239,71.51117,9.19648,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,525.40466,194.66331,184.31804,43.68685,61.61208,26.32600,28.64550,8.37444,144.98146,65.58796,77.26055,10.28670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,315.50873,142.45078,117.76592,23.03394,24.84871,12.93856,12.29217,2.98041,73.37409,40.44991,41.60279,4.64603,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,118.52794,68.23457,65.71719,6.73962,131.24495,87.13546,96.44003,12.49608,49.99036,35.13916,42.10329,3.52304,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1214.24170,441.92050,455.44379,116.37570,253.51089,106.40558,126.02098,39.80855,427.40048,189.93085,243.52089,35.49042,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
