NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
1.00000,0.99521,0.99521,0.99521,0.99521,414.70468,414.70468,414.70468,414.70468,151.42000,151.42000,151.42000,151.42000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.95429,0.95429,0.95429,0.95429,40.79691,40.79691,40.79691,40.79691,32.49140,32.49140,32.49140,32.49140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.95429,0.95429,0.95429,0.95429,40.79691,40.79691,40.79691,40.79691,32.49140,32.49140,32.49140,32.49140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,16.34360,16.34360,16.34360,16.34360,25.40761,25.40761,25.40761,25.40761,32.49140,32.49140,32.49140,32.49140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.99159,0.99159,0.99159,0.99159,234.92651,234.92651,234.92651,234.92651,81.45130,81.45130,81.45130,81.45130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.97052,0.97052,0.97052,0.97052,64.86678,64.86678,64.86678,64.86678,25.65070,25.65070,25.65070,25.65070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,27.14917,27.14917,27.14917,27.14917,10.19674,10.19674,10.19674,10.19674,16.26070,16.26070,16.26070,16.26070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,10.85056,10.85056,10.85056,10.85056,1.28624,1.28624,1.28624,1.28624,4.50640,4.50640,4.50640,4.50640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,14.87517,14.87517,14.87517,14.87517,1.47933,1.47933,1.47933,1.47933,4.88360,4.88360,4.88360,4.88360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.93706,0.93706,0.93706,0.93706,28.83864,28.83864,28.83864,28.83864,8.95290,8.95290,8.95290,8.95290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,12.96979,12.96979,12.96979,12.96979,1.78431,1.78431,1.78431,1.78431,5.18620,5.18620,5.18620,5.18620,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,7.33484,7.33484,7.33484,7.33484,0.71956,0.71956,0.71956,0.71956,2.08710,2.08710,2.08710,2.08710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,6.33970,6.33970,6.33970,6.33970,0.62740,0.62740,0.62740,0.62740,1.67950,1.67950,1.67950,1.67950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.96419,0.96419,0.96419,0.96419,52.89061,52.89061,52.89061,52.89061,16.40230,16.40230,16.40230,16.40230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,9.50135,9.50135,9.50135,9.50135,0.79865,0.79865,0.79865,0.79865,2.62900,2.62900,2.62900,2.62900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,6.47829,6.47829,6.47829,6.47829,0.50241,0.50241,0.50241,0.50241,1.67700,1.67700,1.67700,1.67700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,2.82466,2.82466,2.82466,2.82466,0.19455,0.19455,0.19455,0.19455,0.72890,0.72890,0.72890,0.72890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,17.36481,17.36481,17.36481,17.36481,3.11319,3.11319,3.11319,3.11319,7.64010,7.64010,7.64010,7.64010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,4.31707,4.31707,4.31707,4.31707,0.23423,0.23423,0.23423,0.23423,1.14560,1.14560,1.14560,1.14560,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,7.63144,7.63144,7.63144,7.63144,0.89426,0.89426,0.89426,0.89426,2.58180,2.58180,2.58180,2.58180,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.95279,0.95279,0.95279,0.95279,39.40971,39.40971,39.40971,39.40971,16.88960,16.88960,16.88960,16.88960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,19.97038,19.97038,19.97038,19.97038,2.12892,2.12892,2.12892,2.12892,10.47410,10.47410,10.47410,10.47410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,16.22220,16.22220,16.22220,16.22220,2.04110,2.04110,2.04110,2.04110,6.41550,6.41550,6.41550,6.41550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.95841,0.95841,0.95841,0.95841,45.12939,45.12939,45.12939,45.12939,13.55580,13.55580,13.55580,13.55580,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,8.58065,8.58065,8.58065,8.58065,2.46665,2.46665,2.46665,2.46665,3.68670,3.68670,3.68670,3.68670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1.68515,1.68515,1.68515,1.68515,0.07235,0.07235,0.07235,0.07235,0.41930,0.41930,0.41930,0.41930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,3.70492,3.70492,3.70492,3.70492,0.19688,0.19688,0.19688,0.19688,0.98940,0.98940,0.98940,0.98940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,10.04632,10.04632,10.04632,10.04632,0.82778,0.82778,0.82778,0.82778,3.45050,3.45050,3.45050,3.45050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,3.93363,3.93363,3.93363,3.93363,2.74537,2.74537,2.74537,2.74537,1.57850,1.57850,1.57850,1.57850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,5.12428,5.12428,5.12428,5.12428,0.36222,0.36222,0.36222,0.36222,1.73960,1.73960,1.73960,1.73960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,3.20918,3.20918,3.20918,3.20918,0.14022,0.14022,0.14022,0.14022,0.93530,0.93530,0.93530,0.93530,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1.71618,1.71618,1.71618,1.71618,1.27602,1.27602,1.27602,1.27602,0.75670,0.75670,0.75670,0.75670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.98572,0.98572,0.98572,0.98572,137.04488,137.04488,137.04488,137.04488,37.35580,37.35580,37.35580,37.35580,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.87451,0.87451,0.87451,0.87451,13.06329,13.06329,13.06329,13.06329,5.19680,5.19680,5.19680,5.19680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,12.27633,12.27633,12.27633,12.27633,1.66147,1.66147,1.66147,1.66147,5.19680,5.19680,5.19680,5.19680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.96262,0.96262,0.96262,0.96262,50.54188,50.54188,50.54188,50.54188,12.58260,12.58260,12.58260,12.58260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
