NUTS3_addit_demolition,share_sfh_1977,share_sfh_77_90,share_sfh_90_17,share_sfh_2017__,share_mfh_1977,share_mfh_77_90,share_mfh_90_17,share_mfh_2017__,share_nres_1977,share_nres_77_90,share_nres_90_17,share_nres_2017__
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.78632,0.06277,0.08000,0.14087,0.78609,0.06277,0.08000,0.14110,0.78026,0.06276,0.07987,0.14708
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.66521,0.12455,0.15000,0.10575,0.66501,0.12455,0.15000,0.10595,0.66008,0.12453,0.14975,0.11115
1.00000,0.61291,0.13152,0.20000,0.10859,0.61273,0.13152,0.20000,0.10877,0.60819,0.13150,0.19966,0.11367
1.00000,0.50881,0.17210,0.27273,0.09584,0.50866,0.17210,0.27273,0.09599,0.50489,0.17208,0.27227,0.10025
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.53235,0.16179,0.25743,0.09327,0.53219,0.16179,0.25743,0.09342,0.52825,0.16176,0.25699,0.09783
1.00000,0.47069,0.19629,0.29000,0.08244,0.47055,0.19629,0.29000,0.08258,0.46706,0.19626,0.28951,0.08659
1.00000,0.56071,0.14594,0.24242,0.07722,0.56055,0.14594,0.24242,0.07739,0.55639,0.14591,0.24202,0.08198
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.61841,0.11558,0.21000,0.10259,0.61823,0.11558,0.21000,0.10277,0.61365,0.11556,0.20965,0.10773
1.00000,0.57686,0.14305,0.22772,0.08839,0.57669,0.14305,0.22772,0.08856,0.57242,0.14302,0.22734,0.09324
1.00000,0.60048,0.11740,0.22772,0.08166,0.60031,0.11740,0.22772,0.08184,0.59585,0.11738,0.22734,0.08669
1.00000,0.64319,0.10861,0.19000,0.11204,0.64300,0.10861,0.19000,0.11223,0.63823,0.10859,0.18968,0.11734
1.00000,0.65771,0.10457,0.17822,0.09180,0.65752,0.10457,0.17822,0.09199,0.65264,0.10455,0.17792,0.09719
1.00000,0.56233,0.14897,0.23762,0.10431,0.56216,0.14897,0.23762,0.10448,0.55799,0.14894,0.23722,0.10907
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.62003,0.14191,0.18182,0.11599,0.61985,0.14191,0.18182,0.11617,0.61525,0.14189,0.18151,0.12109
1.00000,0.60427,0.12883,0.21212,0.09578,0.60409,0.12883,0.21212,0.09595,0.59961,0.12880,0.21177,0.10081
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.57580,0.14743,0.22449,0.07151,0.57563,0.14743,0.22449,0.07167,0.57136,0.14740,0.22411,0.07634
1.00000,0.62117,0.11259,0.21000,0.09017,0.62098,0.11259,0.21000,0.09035,0.61638,0.11257,0.20965,0.09533
1.00000,0.64598,0.11373,0.18182,0.06406,0.64579,0.11373,0.18182,0.06425,0.64100,0.11371,0.18151,0.06936
1.00000,0.62851,0.13451,0.18000,0.08173,0.62832,0.13451,0.18000,0.08191,0.62366,0.13449,0.17970,0.08690
1.00000,0.55052,0.16939,0.23000,0.08293,0.55036,0.16939,0.23000,0.08309,0.54627,0.16936,0.22961,0.08759
1.00000,0.58920,0.13188,0.22549,0.09423,0.58902,0.13188,0.22549,0.09441,0.58466,0.13185,0.22511,0.09918
1.00000,0.55786,0.15145,0.24000,0.07562,0.55769,0.15145,0.24000,0.07578,0.55356,0.15143,0.23960,0.08034
1.00000,0.47620,0.17038,0.31000,0.06538,0.47606,0.17038,0.31000,0.06552,0.47253,0.17035,0.30948,0.06960
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.58722,0.13950,0.22000,0.11053,0.58705,0.13950,0.22000,0.11071,0.58269,0.13947,0.21963,0.11545
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.73035,0.06377,0.14000,0.10404,0.73014,0.06377,0.14000,0.10425,0.72472,0.06376,0.13976,0.10991
1.00000,0.78126,0.06906,0.07921,0.08131,0.78103,0.06906,0.07921,0.08154,0.77524,0.06905,0.07907,0.08747
1.00000,0.76430,0.07672,0.09000,0.09488,0.76408,0.07672,0.09000,0.09510,0.75841,0.07671,0.08985,0.10093
1.00000,0.72593,0.08108,0.12745,0.10956,0.72571,0.08108,0.12745,0.10977,0.72033,0.08107,0.12724,0.11538
1.00000,0.72403,0.07202,0.13861,0.10771,0.72382,0.07202,0.13861,0.10793,0.71845,0.07200,0.13838,0.11354
1.00000,0.73311,0.08188,0.11881,0.08450,0.73290,0.08188,0.11881,0.08472,0.72746,0.08187,0.11861,0.09036
1.00000,0.75880,0.07274,0.10000,0.09005,0.75857,0.07274,0.10000,0.09027,0.75295,0.07272,0.09983,0.09608
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.69732,0.08968,0.15000,0.11117,0.69712,0.08968,0.15000,0.11137,0.69195,0.08966,0.14975,0.11681
1.00000,0.74856,0.08484,0.09901,0.09547,0.74834,0.08484,0.09901,0.09569,0.74279,0.08483,0.09884,0.10142
1.00000,0.65145,0.08968,0.20000,0.12471,0.65125,0.08968,0.20000,0.12490,0.64642,0.08966,0.19966,0.13008
1.00000,0.69133,0.10753,0.13861,0.08479,0.69112,0.10753,0.13861,0.08499,0.68600,0.10751,0.13838,0.09037
1.00000,0.58516,0.15759,0.20408,0.07710,0.58499,0.15759,0.20408,0.07727,0.58065,0.15757,0.20374,0.08198
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.63319,0.08188,0.22772,0.13931,0.63300,0.08188,0.22772,0.13950,0.62831,0.08187,0.22734,0.14459
1.00000,0.60832,0.10661,0.23000,0.14036,0.60814,0.10661,0.23000,0.14053,0.60363,0.10660,0.22961,0.14545
1.00000,0.66081,0.11776,0.16162,0.09133,0.66061,0.11776,0.16162,0.09152,0.65571,0.11774,0.16134,0.09671
1.00000,0.66296,0.10062,0.17647,0.11276,0.66276,0.10062,0.17647,0.11296,0.65785,0.10060,0.17617,0.11819
1.00000,0.70007,0.08669,0.15000,0.09324,0.69987,0.08669,0.15000,0.09345,0.69468,0.08667,0.14975,0.09890
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.68588,0.10359,0.14851,0.10479,0.68567,0.10359,0.14851,0.10499,0.68059,0.10357,0.14827,0.11034
1.00000,0.68906,0.09864,0.15000,0.10715,0.68886,0.09864,0.15000,0.10735,0.68375,0.09863,0.14975,0.11273
1.00000,0.69880,0.10668,0.13131,0.09288,0.69860,0.10668,0.13131,0.09309,0.69342,0.10667,0.13109,0.09851
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.84224,0.61617,0.15554,0.04747,0.01666,0.61695,0.15491,0.04724,0.01674,0.61536,0.15632,0.04767,0.01649
0.88045,0.64712,0.16737,0.04179,0.01908,0.64792,0.16668,0.04159,0.01915,0.64626,0.16820,0.04197,0.01893
0.86581,0.61349,0.18351,0.04542,0.01829,0.61434,0.18279,0.04521,0.01837,0.61258,0.18439,0.04561,0.01813
0.88983,0.61962,0.17694,0.06951,0.02700,0.62010,0.17613,0.06915,0.02770,0.61979,0.17811,0.06992,0.02526
0.88654,0.64180,0.17149,0.04909,0.02034,0.64221,0.17069,0.04883,0.02100,0.64139,0.17246,0.04933,0.01954
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.90553,0.61844,0.17810,0.08506,0.03180,0.61900,0.17731,0.08463,0.03247,0.61842,0.17922,0.08554,0.03023
0.88705,0.60840,0.18843,0.06666,0.01917,0.60934,0.18772,0.06636,0.01925,0.60741,0.18931,0.06692,0.01903
0.91885,0.55020,0.25748,0.08813,0.02968,0.55095,0.25645,0.08772,0.03037,0.54980,0.25891,0.08856,0.02822
0.89181,0.63792,0.18470,0.04497,0.01865,0.63880,0.18397,0.04476,0.01871,0.63697,0.18559,0.04516,0.01854
0.90838,0.63746,0.19618,0.05030,0.01968,0.63808,0.19532,0.05005,0.02018,0.63645,0.19710,0.05050,0.01957
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.97988,0.42786,0.25665,0.27419,0.04173,0.42971,0.25638,0.27373,0.04060,0.42550,0.25684,0.27422,0.04387
0.91435,0.53511,0.21588,0.14090,0.02301,0.53586,0.21503,0.14025,0.02375,0.53475,0.21709,0.14160,0.02145
0.94349,0.62326,0.22465,0.07090,0.02238,0.62407,0.22374,0.07057,0.02282,0.62250,0.22579,0.07121,0.02169
0.91430,0.62577,0.19737,0.06690,0.02416,0.62635,0.19650,0.06656,0.02478,0.62563,0.19857,0.06726,0.02273
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
