NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,2114.20288,152.75984,109.33871,1152.33826,3248.89893,271.61783,221.74150,2451.53613,4569.03613,405.99030,359.62561,1965.68823,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,3155.62329,534.76117,361.70670,1914.20544,1148.49915,225.19824,173.73428,983.86481,1995.51111,415.86993,348.11630,983.75323,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1203.77112,233.79982,199.67123,765.04181,136.89810,30.76502,29.96764,124.10721,519.90515,124.18036,131.24858,272.63089,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1458.15735,446.40695,397.29578,1048.80591,136.29311,48.27920,49.00800,142.73813,483.07590,181.87398,200.31978,295.44980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1311.75696,360.82986,322.43872,914.46191,170.42490,54.24274,55.28540,172.16556,532.99536,180.30223,199.39586,313.76004,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,678.35101,256.03897,212.44830,517.15857,62.07446,27.10967,25.65637,69.42895,192.69991,89.44617,91.84998,126.26921,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,665.23206,156.70706,146.19992,446.99265,62.51180,17.03872,18.13091,60.53708,180.48834,52.28692,60.37010,101.60783,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1066.21130,180.36162,184.04364,669.91095,86.02059,16.83693,19.59582,77.06042,306.89334,63.84353,80.62389,159.04855,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,691.63867,155.23022,138.78786,456.76288,51.10131,13.27054,13.53281,48.47683,184.27403,50.86158,56.27755,101.45479,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,311.70615,55.15611,60.08830,199.15871,20.53136,4.20364,5.22331,18.77137,83.21816,18.10902,24.41526,44.09715,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1995.67688,305.00113,299.67050,1224.33801,345.02478,61.01283,68.37344,300.38510,919.81696,172.87860,210.21031,462.21490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,502.82782,72.35847,69.25822,304.38226,26.38021,4.39246,4.79528,22.60079,140.34332,24.83650,29.42000,69.30645,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,801.05273,192.06589,172.06787,538.06757,89.17429,24.73936,25.27912,86.28513,277.77365,81.90467,90.80894,156.19418,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,2220.01978,459.88843,330.91867,1408.04822,227.46707,54.52227,44.74727,205.41484,1214.59143,309.42435,275.54559,633.67194,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1787.77661,344.96768,319.00916,1143.77502,215.39496,48.09061,50.72345,196.94121,733.11230,173.96597,199.09448,388.13022,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,913.45074,211.68048,181.03015,604.99371,250.15633,67.07593,65.42754,238.00226,403.96851,115.12560,121.84622,223.04060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,189.78555,31.13549,32.61459,118.81192,7.82377,1.48514,1.77439,6.98037,49.14972,9.91613,12.85490,25.36463,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,425.88480,67.86418,60.93265,261.22403,21.84049,4.02690,4.12386,18.99661,119.29117,23.37682,25.97557,59.85653,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1128.46741,218.59238,164.28166,708.33856,89.49418,20.05859,17.19406,79.87139,405.08813,96.49931,89.75289,208.74936,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,404.37213,112.61121,85.87681,277.34772,267.67892,86.25298,75.02265,264.89453,165.99721,56.84991,53.65303,95.49423,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,556.20288,112.67524,108.20263,361.29990,37.53537,8.79823,9.63671,34.95034,194.90781,48.55713,57.70757,105.24252,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,334.97791,82.31122,73.25578,226.27205,13.89220,3.94978,4.00941,13.52928,99.94215,30.20092,33.26391,56.58388,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,161.73247,52.37557,53.51921,121.00193,112.15388,42.02477,48.97904,123.11967,71.13001,28.32781,35.82318,45.77887,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1325.75562,285.04562,252.47849,865.56390,171.28450,42.61166,43.04893,160.31200,579.35114,153.18677,167.91963,314.39731,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
