NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,13.63047,0.83523,0.58353,5.68005,20.80438,1.47169,1.18195,12.10308,26.22973,1.95994,1.70544,9.46060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,20.34462,2.92386,1.93039,9.43542,7.35444,1.22018,0.92606,4.85728,11.45573,2.00763,1.65086,4.73467,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,7.76082,1.27832,1.06562,3.77100,0.87663,0.16669,0.15974,0.61271,2.98466,0.59949,0.62242,1.31214,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,9.40087,2.44077,2.12032,5.16972,0.87275,0.26159,0.26123,0.70469,2.77324,0.87801,0.94997,1.42197,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,8.45702,1.97287,1.72082,4.50752,1.09132,0.29390,0.29469,0.84997,3.05978,0.87041,0.94558,1.51008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,4.37339,1.39991,1.13381,2.54915,0.39749,0.14689,0.13676,0.34277,1.10622,0.43180,0.43557,0.60771,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,4.28882,0.85681,0.78025,2.20330,0.40030,0.09232,0.09664,0.29887,1.03614,0.25242,0.28629,0.48902,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,6.87398,0.98614,0.98222,3.30210,0.55084,0.09123,0.10445,0.38044,1.76183,0.30821,0.38235,0.76549,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,4.45908,0.84874,0.74070,2.25146,0.32723,0.07190,0.07213,0.23933,1.05789,0.24554,0.26689,0.48830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,2.00959,0.30157,0.32068,0.98168,0.13147,0.02278,0.02784,0.09267,0.47774,0.08742,0.11578,0.21224,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,12.86636,1.66763,1.59932,6.03497,2.20938,0.33058,0.36445,1.48299,5.28046,0.83458,0.99687,2.22459,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,3.24179,0.39563,0.36963,1.50035,0.16893,0.02380,0.02556,0.11158,0.80569,0.11990,0.13952,0.33357,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,5.16449,1.05014,0.91831,2.65223,0.57103,0.13404,0.13475,0.42599,1.59465,0.39540,0.43064,0.75175,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,14.31273,2.51449,1.76608,6.94051,1.45659,0.29542,0.23852,1.01412,6.97265,1.49376,1.30670,3.04977,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,11.52601,1.88615,1.70253,5.63787,1.37929,0.26057,0.27037,0.97229,4.20861,0.83983,0.94416,1.86802,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,5.88913,1.15739,0.96614,2.98212,1.60189,0.36344,0.34875,1.17501,2.31909,0.55577,0.57783,1.07347,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1.22360,0.17024,0.17407,0.58566,0.05010,0.00805,0.00946,0.03446,0.28218,0.04788,0.06097,0.12209,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,2.74571,0.37105,0.32519,1.28761,0.13986,0.02182,0.02198,0.09378,0.68483,0.11285,0.12318,0.28809,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,7.27531,1.19517,0.87675,3.49150,0.57308,0.10868,0.09165,0.39432,2.32553,0.46586,0.42563,1.00469,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,2.60704,0.61571,0.45832,1.36710,1.71409,0.46734,0.39989,1.30777,0.95298,0.27445,0.25444,0.45962,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,3.58587,0.61606,0.57746,1.78089,0.24036,0.04767,0.05137,0.17255,1.11893,0.23441,0.27367,0.50652,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,2.15962,0.45004,0.39096,1.11532,0.08896,0.02140,0.02137,0.06679,0.57375,0.14580,0.15775,0.27233,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,1.04271,0.28637,0.28563,0.59644,0.71819,0.22770,0.26107,0.60784,0.40834,0.13676,0.16988,0.22033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,8.54731,1.55852,1.34746,4.26652,1.09683,0.23088,0.22946,0.79145,3.32594,0.73952,0.79632,1.51317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
