NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1401.97864,134.49266,154.55626,277.13071,3810.30859,422.95667,547.68140,988.53882,3656.11938,426.56363,562.37463,938.31171,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2291.20044,860.72906,616.06262,480.69415,1311.70483,570.18805,459.85440,375.85870,1360.94470,621.79907,510.57816,342.56277,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,892.39111,419.45688,364.45505,224.97392,165.67532,90.10907,88.22041,58.04142,330.65738,189.02379,188.42000,91.37724,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,955.22662,766.60895,688.60675,278.88095,146.97290,136.48448,138.14166,61.39481,268.31949,261.89420,269.88397,90.92330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,868.57526,608.29468,577.95905,229.78722,180.54892,146.31200,156.64157,68.03137,303.27292,258.31302,281.56790,92.18809,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,430.44199,423.12125,348.80823,122.56674,64.99029,73.92262,68.66621,26.67086,103.94942,124.27351,117.53148,35.66733,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,463.72763,278.53790,266.43222,104.03410,71.91311,49.98136,53.87092,22.81852,106.62586,77.89150,85.47644,29.08028,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,805.20300,333.43192,346.90005,192.03380,109.77783,52.60112,61.66462,36.40810,195.83714,98.62864,117.72102,54.49904,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,499.01410,279.43561,253.95311,115.69707,62.79227,40.68681,41.66481,20.46778,111.90533,76.21245,79.46055,30.84639,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,231.61804,100.08626,116.26574,49.62458,26.38231,13.19148,17.26691,7.91871,51.76688,27.20573,36.25697,13.09944,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1500.68689,521.05798,567.75018,356.04758,412.60886,165.77272,203.52989,135.09235,607.19562,256.40750,320.52048,163.83401,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,404.54114,132.73161,134.67339,88.87356,38.49880,14.61630,16.71047,11.61651,94.57520,37.73941,43.92951,23.48024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,556.15112,330.50073,318.11185,149.87399,100.52849,69.12695,74.97192,38.26067,164.55435,118.93099,131.32773,51.51245,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1668.39734,798.81989,624.89758,438.32516,281.99979,156.23442,137.71481,102.64844,779.78711,454.07928,407.51685,212.13805,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1301.83228,585.67926,624.11450,309.87698,253.76849,132.10561,158.62424,84.44443,457.30441,250.21683,305.89667,122.33770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,608.11285,354.26453,307.02701,106.69507,259.41058,174.86771,170.76642,64.07127,244.05450,172.91649,171.92508,53.68926,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,146.34821,59.76493,61.77857,32.88460,11.40398,5.38882,6.27667,3.56018,31.47450,15.63234,18.53827,8.10866,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,336.44305,130.75778,113.08744,60.47139,31.37570,14.11003,13.75051,7.77760,78.89086,37.28970,36.99896,16.04635,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,866.12054,394.01053,304.46722,172.02393,116.78369,61.47383,53.52627,32.09607,263.40839,145.73546,129.19682,57.46197,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,234.82130,160.73029,133.80212,45.74756,245.13144,194.15024,182.11557,67.59269,96.98626,80.73775,77.10735,29.35638,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,408.28931,201.16907,206.02280,96.13951,47.45590,27.05589,31.22194,15.67628,119.93482,71.86951,84.44085,31.15782,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,240.21228,152.25111,130.09013,53.24427,18.69062,13.70779,13.19761,5.85096,59.48066,45.85083,44.94537,14.66166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,83.87113,73.74246,77.51096,16.63247,91.44942,93.03894,110.19305,26.27147,37.37973,39.97122,48.19997,11.68552,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,937.24927,453.47916,518.99847,251.50330,194.08508,108.66078,140.12819,73.27065,350.76852,206.40912,271.01382,105.85786,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
