NUTS3_addit_demolition,gfa_sfh_1977,gfa_sfh_77_90,gfa_sfh_90_17,gfa_sfh_2017__,gfa_mfh_1977,gfa_mfh_77_90,gfa_mfh_90_17,gfa_mfh_2017__,gfa_nres_1977,gfa_nres_77_90,gfa_nres_90_17,gfa_nres_2017__,XXX,gfa_total_2017,gfa_res_2017,gfa_nres_2017,gfa_total,gfa_re,gfa_nres,gfa_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,686.03461,555.18292,130.85170,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,80.85081,55.76019,25.09063,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,80.85081,55.76019,25.09063,0.00000,0.00000,0.00000,0.00000
0.00000,6.90334,0.69251,1.38173,0.83632,34.18345,3.42964,6.84334,4.14917,18.41829,1.85716,3.70107,2.31072,0.00000,80.85081,55.76019,25.09063,84.70673,58.41949,26.28724,7.29620
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,386.23920,315.07742,71.16177,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,109.80583,87.92773,21.87811,0.00000,0.00000,0.00000,0.00000
0.00000,12.34765,4.85061,6.02789,1.47673,13.38307,5.25816,6.53468,1.60385,6.98544,2.75829,3.42364,0.86303,0.00000,63.47016,49.87728,13.59289,65.51304,51.48265,14.03039,3.94361
0.00000,5.21218,2.56189,3.86480,0.72018,1.86400,0.91633,1.38243,0.25803,1.68694,0.83344,1.25580,0.23968,0.00000,20.08796,16.20877,3.87919,20.79570,16.77983,4.01586,1.21788
