NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1452.36841,183.76619,139.67239,172.92424,4500.31201,638.02234,468.40350,715.98596,5321.50781,823.81281,936.59064,1002.87122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2651.89331,792.81311,488.75616,302.74976,1731.36658,579.97345,345.35760,268.32034,2086.54175,763.21460,703.79205,379.52289,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1091.25159,382.57663,274.58792,161.31320,234.52678,92.12772,63.86938,47.29107,521.89667,223.86334,240.33795,112.89207,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1266.85425,661.60883,496.77927,219.66339,230.20819,134.70999,97.70153,55.02084,454.36783,290.32681,326.08118,124.80944,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1130.03186,530.12811,414.72025,171.21657,276.10556,145.13412,109.66885,57.53150,506.23206,290.56589,340.01294,121.18246,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,581.83502,360.66949,254.76643,92.64655,104.04837,72.26852,49.30846,22.93045,178.85768,135.65071,143.32808,48.46508,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,568.98181,237.62167,185.31866,92.25702,103.47402,48.41982,36.47504,23.00120,174.62527,89.22771,104.09004,33.34032,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,986.89563,314.70248,256.64523,132.93442,156.50247,55.91836,44.04807,28.72493,308.31955,120.29150,146.73859,65.83402,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,628.88513,250.27855,187.52782,76.50891,92.65009,41.31450,29.90088,15.43467,180.67075,87.97211,98.59695,36.92304,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,280.95190,92.01155,81.86701,38.31920,37.50602,13.76308,11.82828,6.97969,82.52568,33.06773,44.00959,14.42772,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1793.05212,504.86060,421.38916,246.05420,567.80310,179.13507,144.42152,105.86815,941.76379,324.43335,405.05472,194.76668,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,483.83817,131.28287,103.62800,52.07775,53.39643,16.23396,12.37750,7.80120,145.30098,48.23713,56.95434,24.72492,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,708.12305,293.57236,230.47510,113.30485,149.86674,69.61711,52.79153,32.87103,268.96741,136.43031,160.21237,67.36612,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2032.61597,723.56494,479.84933,325.71167,396.98950,158.34544,101.43137,86.74733,1226.90930,534.36682,530.08221,268.13214,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1610.47119,542.84900,453.16156,206.17731,365.22098,137.93872,111.22426,63.81480,728.73572,300.53915,375.27649,143.90164,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,723.46497,296.71915,214.02676,90.00652,358.63293,164.80966,114.82715,61.11107,395.12119,198.27289,213.92531,57.62158,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,179.75970,56.80891,46.04257,20.37151,16.43159,5.81846,4.55502,2.53659,49.44917,19.12000,23.17968,9.06282,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,374.24097,114.57230,81.01044,57.54201,40.50597,13.89478,9.48970,8.46582,122.18399,45.76649,48.40445,13.24436,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1015.31824,348.56357,228.89122,130.49435,158.27756,60.88404,38.61802,27.72079,411.80914,172.97392,169.90421,58.53773,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,286.83823,133.34158,93.96857,32.36731,350.95786,182.80490,124.43551,54.39871,159.48283,90.70839,95.61826,35.47865,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,511.60449,184.63084,150.76576,65.13231,69.66738,28.17110,22.21988,12.12334,192.30443,84.91105,103.71439,37.64531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,299.79480,131.18689,94.11003,41.89032,27.58014,13.52281,9.37027,5.28649,97.09776,51.98529,55.78306,16.76767,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,104.25469,57.65374,49.13974,17.76314,135.59563,84.01984,69.17140,31.90810,65.39762,44.24850,56.41315,14.44444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1178.15247,416.84808,369.69931,193.45782,285.16754,113.05263,96.84805,64.00161,567.12042,245.50285,325.68945,138.99368,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
