NUTS3_addit_demolition,gfa_sfh_1977,gfa_sfh_77_90,gfa_sfh_90_17,gfa_sfh_2017__,gfa_mfh_1977,gfa_mfh_77_90,gfa_mfh_90_17,gfa_mfh_2017__,gfa_nres_1977,gfa_nres_77_90,gfa_nres_90_17,gfa_nres_2017__,XXX,gfa_total_2017,gfa_res_2017,gfa_nres_2017,gfa_total,gfa_re,gfa_nres,gfa_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,721.77594,487.19409,234.58186,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,93.91242,48.93169,44.98074,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,93.91242,48.93169,44.98074,0.00000,0.00000,0.00000,0.00000
0.00000,5.36623,0.79876,1.00920,2.79952,28.95178,4.30209,5.43995,15.15125,30.72974,4.64375,5.75728,17.53501,0.00000,93.91242,48.93169,44.98074,122.48457,63.81878,58.66578,35.48578
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,404.06628,276.49240,127.57388,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,116.38147,77.15991,39.22155,0.00000,0.00000,0.00000,0.00000
0.00000,11.20092,3.93935,4.03706,4.94964,12.92905,4.53938,4.65574,5.74339,13.08362,4.67158,4.69774,6.49486,0.00000,68.13758,43.76920,24.36838,80.94232,51.99452,28.94781,17.18789
0.00000,5.12027,2.11175,2.51956,2.55358,1.95511,0.80497,0.96120,0.98036,3.36845,1.41041,1.65125,1.88491,0.00000,21.17815,14.22381,6.95435,25.32183,17.00681,8.31502,5.41884
