NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1338.22522,167.85854,137.92851,384.06195,4129.11328,582.01953,461.94263,1605.74841,4922.37207,771.48029,921.64667,1876.12378,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2443.47144,724.23010,482.60938,686.94421,1588.55347,529.09998,340.56232,615.68500,1930.04199,714.77991,692.50104,696.73785,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1005.49225,349.48181,271.12466,352.03009,215.18301,84.04665,62.98030,104.40791,482.75693,209.65755,236.47433,201.21802,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1167.32434,604.36475,490.49384,484.11694,211.22632,122.89159,96.33775,122.76470,420.30588,271.89999,320.82831,224.16777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1041.23730,484.26282,409.48401,382.39041,253.33548,132.40182,108.14082,130.09131,468.27368,272.12433,334.54315,218.83470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,536.13342,329.45959,251.53822,210.26906,95.47089,65.92754,48.61928,52.72391,165.45323,127.04005,141.01698,87.85749,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,510.80713,211.49011,178.27896,196.40425,92.50215,43.03794,35.04300,49.55727,161.53107,83.56518,102.41519,61.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,909.33643,287.48096,253.40796,293.37726,143.59393,51.01375,43.43484,64.15287,285.19669,112.65882,144.37944,117.34870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,579.46582,228.62703,185.16023,174.75278,85.00886,37.69040,29.48428,35.70330,167.12259,82.38936,97.01085,66.47993,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,253.75517,82.39100,79.23698,84.29146,33.73228,12.30770,11.43313,15.53967,76.33649,30.96943,43.30223,26.54819,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1652.12891,461.18893,416.08588,536.58075,520.96710,163.42249,142.41502,233.51791,871.12762,303.84555,398.55295,347.89908,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,445.81152,119.92718,102.32330,122.51888,48.99196,14.81009,12.20547,18.57304,134.40286,45.17635,56.03986,45.63733,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,652.47595,268.17453,227.56808,245.85741,137.50636,63.51006,52.05663,72.18755,248.79732,127.77175,157.63683,119.55650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1872.87036,660.96881,473.80966,699.07117,364.24445,144.45512,100.02203,188.31833,1134.88989,500.45294,521.57306,473.89502,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1483.89954,495.88681,447.45923,467.51187,335.09558,125.83849,109.67918,146.45442,674.07806,281.46506,369.25327,261.87589,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,649.20288,263.97015,205.80472,192.60892,320.46088,146.42528,110.26976,132.39333,365.49237,185.69011,210.48360,107.19897,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,165.63268,51.89514,45.46142,47.04724,15.07630,5.30814,4.49157,5.93111,45.74072,17.90688,22.80684,16.42619,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,331.38049,100.58034,76.86873,113.78271,35.71545,12.18173,8.99260,16.93437,113.02052,42.86271,47.62613,26.26079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,914.09497,311.11700,220.83006,281.15411,141.89600,54.27117,37.20861,60.44041,380.92413,161.99699,167.17470,106.80235,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,261.71109,120.61311,91.87585,74.78526,318.86142,165.13565,121.50319,127.24094,147.52313,84.95105,94.08163,65.85204,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,471.39865,168.65898,148.86482,145.28542,63.92123,25.70000,21.91065,27.38215,177.88248,79.52261,102.04743,66.89320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,271.03253,117.57894,91.16830,93.20238,24.82880,12.10404,9.06535,11.91004,89.81773,48.68626,54.88451,30.78536,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,92.87213,50.91502,46.90522,36.27465,120.28123,74.10117,65.93865,65.95656,60.49565,41.44010,55.50410,27.43817,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1085.55066,380.78229,365.05899,418.85263,261.64355,103.13436,95.50573,140.19389,524.57886,229.91835,320.47110,248.33340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
