NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1442.16162,182.34503,139.54538,224.01077,4440.58496,629.03345,467.62622,927.20276,5264.15088,818.56915,934.97559,1259.72449,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2633.24951,786.73267,488.26663,395.26749,1708.38318,571.83917,344.75247,350.20926,2064.05273,758.40796,702.51599,473.35938,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1083.58630,379.64285,274.30295,207.55562,231.41499,90.83572,63.75520,60.83322,516.27661,222.45441,239.89424,139.32858,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1257.98743,656.52264,496.24353,284.17972,227.15979,132.81842,97.52303,71.16833,449.48938,288.49603,325.46811,154.62556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1122.10718,526.05560,414.28409,222.67543,272.44540,143.09689,109.47134,74.80868,500.78781,288.73398,339.38138,150.44772,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,577.77356,357.89258,254.48680,121.28020,102.67257,71.25298,49.21747,30.01237,176.94130,134.79417,143.05638,60.26589,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,560.63873,233.98181,183.69736,118.93051,101.31567,47.37281,36.12880,29.64528,172.74680,88.66575,103.89635,41.85690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,979.96191,312.29111,256.37854,171.85252,154.42569,55.13450,43.96925,37.12600,304.99908,119.53518,146.46747,81.27928,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,624.47150,248.35797,187.33078,100.27784,91.42135,40.73491,29.84705,20.22512,178.72658,87.41817,98.41384,45.76805,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,277.35928,90.77645,81.30780,49.93061,36.79358,13.49137,11.73867,9.09264,81.63683,32.85970,43.92849,18.04274,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1780.44543,500.99039,420.96344,316.59906,560.26532,176.62331,144.16724,136.18855,931.61346,322.39139,404.31686,240.60771,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,480.43649,130.27713,103.52274,69.03787,52.68758,16.00641,12.35564,10.33867,143.73502,47.93378,56.85032,30.92314,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,703.15198,291.31854,230.23572,145.60390,147.87889,68.64021,52.69711,42.23325,266.07224,135.57056,159.91655,83.05962,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2018.33069,718.01184,479.36386,416.20694,391.72055,156.12381,101.25266,110.82226,1213.68982,530.99902,529.11621,329.78284,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1599.14978,538.68286,452.70444,269.61212,360.37305,136.00337,111.02863,83.42965,720.88190,298.64481,374.59338,179.11732,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,712.75299,292.13199,212.12428,116.36002,351.10114,161.22263,113.72106,78.98625,390.86993,197.02411,213.52766,72.33327,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,178.49696,56.37380,45.99434,26.81415,16.21355,5.73691,4.54683,3.33794,48.91668,18.99986,23.13667,11.26070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,367.10959,112.31757,79.94572,72.51968,39.48424,13.53409,9.35794,10.66674,120.86798,45.47892,48.31492,17.03541,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1001.32324,343.53622,227.10033,168.62981,155.11427,59.62160,38.28710,35.81199,407.37317,171.88481,169.59238,72.85715,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,284.05103,131.95766,93.61649,42.79497,345.36230,179.74907,123.87625,71.90714,157.76628,90.13622,95.44221,44.49775,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,508.01093,183.21455,150.60985,84.57597,68.74303,27.77596,22.18023,15.73917,190.23357,84.37641,103.52323,46.43728,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,296.05267,129.46217,93.49063,54.79768,27.06464,13.25957,9.30162,6.91379,96.05415,51.65792,55.67824,20.94282,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,102.47161,56.62781,48.58654,22.61868,132.43864,81.99635,68.34145,40.62427,64.69611,43.96947,56.30680,18.31212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1169.86243,413.64456,369.33832,248.51025,281.38019,111.46526,96.68080,82.19877,561.00250,243.95187,325.10580,171.83141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
