NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1377.19324,173.06508,138.39937,156.32518,4243.43457,598.25354,463.66537,716.76141,5050.40723,789.08765,924.07581,915.42847,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2514.62329,746.69409,484.25684,278.08386,1632.53528,543.85785,341.83240,273.10315,1980.24524,731.09338,694.32617,340.46448,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1034.77136,360.32199,272.05026,143.43069,221.14076,86.39095,63.21519,46.60611,495.31396,214.44260,237.09756,98.82664,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1201.31604,623.11060,492.16824,197.13361,217.07451,126.31935,96.69701,54.75042,431.23849,278.10565,321.67383,110.00414,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1071.55701,499.28345,410.88184,155.37724,260.34955,136.09485,108.54411,57.89146,480.45404,278.33508,335.42487,107.28896,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,551.74524,339.67865,252.39687,85.18787,98.11418,67.76641,48.80059,23.38568,169.75685,129.93948,141.38864,43.02767,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,528.57172,219.24890,179.87111,80.91274,95.58589,44.48160,35.36707,22.36380,165.73267,85.47240,102.68511,30.22422,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,935.81573,296.39792,254.27309,119.32210,147.56961,52.43666,43.59682,28.58222,292.61493,115.23002,144.75996,57.63596,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,596.33948,235.71848,185.79236,70.65177,87.36250,38.74167,29.59424,15.80548,171.46964,84.26974,97.26658,32.57952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,262.26709,85.31178,79.84932,34.50174,34.81526,12.70539,11.52511,6.96709,78.32211,31.67624,43.41636,12.96959,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1700.23743,475.49390,417.50635,218.75639,535.39105,167.98077,142.94614,104.31555,893.78674,310.78018,399.60330,170.87312,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,458.79312,123.64701,102.67260,49.31900,50.34840,15.22318,12.25099,8.18933,137.89888,46.20742,56.18755,22.27954,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,671.47546,276.49271,228.34491,100.32550,141.31348,65.28149,52.25076,32.26746,255.26877,130.68788,158.05223,58.78034,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1927.40649,681.47052,475.42715,285.52750,374.32928,148.48434,100.39503,84.27808,1164.40967,511.87482,522.94775,233.05359,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1527.10938,511.26807,448.98657,189.46236,344.37344,129.34846,110.08823,65.01105,691.61145,287.88892,370.22647,128.22032,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,671.83911,273.67810,207.66077,79.26469,331.17310,151.35019,111.29921,59.66928,374.99921,189.92815,211.03836,52.20749,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,170.45581,53.50482,45.61663,18.98970,15.49370,5.45619,4.50832,2.62168,46.93050,18.31557,22.86695,8.04212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,343.81070,104.54566,77.76007,47.57241,37.00359,12.62361,9.09974,7.75716,115.96031,43.84097,47.75166,12.65354,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,945.35773,322.35101,222.67809,115.35260,146.54472,56.06038,37.53180,27.16228,390.83243,165.69429,167.61528,52.15298,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,269.93149,124.63107,92.39474,30.28640,328.41919,170.11958,122.22782,56.43520,151.36041,86.88988,94.32956,32.12481,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,485.12543,173.89037,149.37299,58.97118,65.69103,26.41683,21.99236,12.17136,182.50945,81.33756,102.31637,32.86258,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,280.07147,121.72430,91.85561,38.04234,25.62111,12.49279,9.13656,5.32337,92.15399,49.79743,55.02916,15.02989,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,96.24639,52.86220,47.39522,15.08399,124.47784,76.70186,66.64843,30.04222,62.06921,42.38588,55.65039,13.34657,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1117.16101,392.59326,366.30521,171.11981,268.88766,106.01104,95.86192,62.75241,538.22382,235.16579,321.31580,122.02799,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
