DI,COUNTRY_CODE,NUTS_LEVEL,NUTS_CODE,NDW_CP1,NDW_CP2,NDW_CP3,NDW_CP4,NDW_CP5,NDW_CP6,NDW_CP7,NDW_CP8,NDW_CP9,NDW_RES1,NDW_RES2,NDW_RES3,NDW_NRES,NDW_total,GFA_RES,GFA_NRES,Energy_RES,Energy_NRES
0.0000,56.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,495.2870,231.7928,75017.5938,33335.7305
0.0000,56.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7445,44.4459,7534.4688,7153.1133
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7445,44.4459,7534.4688,7153.1133
0.0000,56.0000,3.0000,0.0000,28.2200,17.6375,11.4644,11.4644,8.3627,8.3627,7.2442,3.6221,3.6221,52939.2031,25446.9238,480260.0938,22439.7656,581086.0000,49.7445,44.4459,7534.4688,7153.1133
0.0000,56.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,281.0853,126.0571,42574.0000,17931.8301
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.4417,38.7552,11881.0596,5647.1025
0.0000,56.0000,3.0000,0.0000,12.2701,11.5033,12.2701,11.5033,15.5688,15.5688,12.7894,4.2631,4.2631,180731.1094,23059.7598,266951.5000,13445.6123,484188.0000,44.4963,24.0787,6739.4790,3579.8650
0.0000,56.0000,3.0000,0.0000,10.8104,10.0897,10.8104,9.3690,16.4484,16.4484,14.3131,5.2048,6.5059,97287.2266,5499.9658,43095.3047,3675.5066,149558.0000,14.4601,6.8717,2190.2239,992.1002
0.0000,56.0000,3.0000,0.0000,3.2954,5.9318,9.2272,9.8863,19.6697,19.6697,16.7584,7.1822,8.3792,139584.3906,5622.2554,51968.7344,4470.6172,201646.0000,19.4853,7.8049,2951.3569,1075.1377
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.4762,14.2847,5373.3423,1971.0101
0.0000,56.0000,3.0000,0.0000,3.3923,7.4630,10.8552,9.4983,18.5247,18.5247,15.8709,7.3250,8.5459,114349.6797,6489.4707,58769.9609,4249.8843,183859.0000,17.5789,7.9963,2662.5444,1141.7684
0.0000,56.0000,3.0000,0.0000,2.4982,4.3719,8.1193,8.7438,21.5263,21.5263,17.1797,6.8719,9.1625,70848.5703,3603.8743,26234.7461,2353.8162,103041.0000,9.5963,3.4540,1453.5081,459.4919
0.0000,56.0000,3.0000,0.0000,7.6544,7.6544,9.7420,9.7420,17.5678,17.5678,16.2887,6.2649,7.5179,59663.6484,4115.1738,22407.9863,2268.1931,88455.0000,8.3010,2.8331,1257.2896,369.7495
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.1653,26.0923,9718.6904,3611.0237
