NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1462.75854,182.14284,153.70668,23.71605,4511.98584,631.63916,527.04565,106.13440,5252.51123,795.40393,1059.77063,283.70660,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2658.09375,789.42963,520.17719,43.07128,1732.35571,578.41833,376.85861,41.42483,2048.53369,739.89056,769.74847,113.64075,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1092.68518,381.22543,289.28445,23.49120,234.11668,91.82925,68.90057,7.46974,510.48523,216.59647,259.50040,34.37603,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1264.88281,660.02155,518.34851,30.48254,228.78400,134.21321,104.22157,8.27890,441.76617,280.33768,347.60724,36.64345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1128.78894,528.59393,433.09705,24.07016,274.67606,144.60791,117.15307,8.77320,492.59335,280.53000,362.89911,36.06550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,580.60883,359.94321,265.21701,12.93548,103.32317,72.01284,52.46575,3.47115,173.75739,131.00111,152.40033,14.43655,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,592.33734,246.69504,202.11909,8.78108,107.27553,50.22892,40.69109,2.37511,170.16489,86.18716,111.48926,9.98502,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,988.22992,313.34628,270.03769,18.11283,156.12596,55.65491,47.42440,4.24313,301.36423,116.20895,158.11856,19.17028,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,629.22668,249.53214,196.67732,10.52491,92.30650,41.15413,32.07302,2.30128,176.34372,85.04732,105.83563,10.96107,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,288.88080,94.12865,88.23971,3.94954,38.38974,14.06307,13.03530,0.77989,80.52202,31.90796,47.22640,4.25007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1795.76379,502.21423,444.67648,37.97490,567.19135,178.33281,156.12950,17.72838,921.41803,313.38467,438.10315,61.99031,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,485.06180,130.62566,109.61854,6.47635,53.31270,16.14076,13.39300,1.05095,142.38335,46.63071,61.78329,6.84768,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,707.93799,292.64590,241.30446,17.36368,149.24290,69.35898,56.54890,5.46314,262.12723,131.77733,171.55646,21.34689,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2035.35156,721.22894,507.21317,47.07043,396.33926,157.89290,109.79398,13.59641,1200.71216,517.43268,574.53259,80.85930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1611.00586,540.59106,476.46982,31.04984,364.08185,137.35126,119.70097,10.42346,711.06940,290.17841,403.80811,45.29202,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,754.08533,308.32245,234.23013,7.02891,372.67645,171.30830,128.68103,5.18380,385.57574,191.72363,229.96234,16.26954,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,180.05981,56.56789,48.45933,2.71749,16.37322,5.78295,4.89841,0.36626,48.34970,18.47261,24.98499,2.63925,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,406.39059,123.60413,92.85030,2.66173,43.80616,14.97912,11.12590,0.42512,119.74537,44.29241,52.53191,3.75026,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1052.37048,359.41348,250.37944,12.98820,163.52037,62.78551,43.24763,2.99272,403.39651,167.54796,184.28372,18.04640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,289.45969,134.27562,99.42099,3.97152,352.67911,183.92915,134.65735,7.23787,155.44099,87.69120,102.51332,10.28067,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,511.95258,183.96880,158.12012,9.54782,69.40639,28.03985,23.82963,1.92579,187.67426,82.01633,111.29787,11.66136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,307.55606,134.21480,101.11736,4.11936,28.13413,13.80293,10.28242,0.56300,94.72984,50.27409,59.80164,4.82451,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,110.51396,61.12112,54.30237,1.43887,142.92686,88.86890,78.06852,2.80363,63.38671,42.63376,59.80323,4.30074,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1177.48242,415.10638,387.88297,27.22097,283.92847,112.53193,103.97182,9.76913,552.28485,236.78242,349.32870,40.98935,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
