NUTS3_addit_demolition,gfa_sfh_1977,gfa_sfh_77_90,gfa_sfh_90_17,gfa_sfh_2017__,gfa_mfh_1977,gfa_mfh_77_90,gfa_mfh_90_17,gfa_mfh_2017__,gfa_nres_1977,gfa_nres_77_90,gfa_nres_90_17,gfa_nres_2017__,XXX,gfa_total_2017,gfa_res_2017,gfa_nres_2017,gfa_total,gfa_re,gfa_nres,gfa_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2,Mio.m2
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,727.07983,495.28705,231.79280,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,94.19044,49.74451,44.44594,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,94.19044,49.74451,44.44594,0.00000,0.00000,0.00000,0.00000
0.00000,5.46410,0.81238,1.12621,2.61093,29.19663,4.33909,6.01175,13.96702,30.62862,4.61470,6.29597,15.22209,0.00000,94.19044,49.74451,44.44594,120.28951,63.52812,56.76138,31.80005
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,407.14243,281.08533,126.05709,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,117.19688,78.44165,38.75523,0.00000,0.00000,0.00000,0.00000
0.00000,11.30992,3.98910,4.39360,4.61796,12.96571,4.57126,5.03180,5.30515,12.99156,4.64356,5.03333,5.57060,0.00000,68.57492,44.49627,24.07865,80.42355,52.18450,28.23905,15.49371
0.00000,5.14579,2.13132,2.71613,2.33083,1.95094,0.80773,1.02874,0.88576,3.33514,1.39986,1.75568,1.58667,0.00000,21.33175,14.46008,6.87166,25.07457,16.99722,8.07735,4.80326
