NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1176.62842,184.18089,196.92235,285.57101,3242.40112,586.32648,710.94800,1234.30115,2881.19263,563.97083,732.65253,694.83948,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2076.49756,790.87433,622.21063,517.47986,1210.61499,532.65924,475.25552,486.96469,1155.60522,550.38257,526.12085,262.67978,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,839.99005,377.20648,336.11920,251.74413,159.76735,82.88204,83.75729,78.23602,291.90427,163.91719,177.47194,72.55933,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,975.12189,660.65094,598.56329,322.12592,154.87233,121.21445,124.54903,85.47195,257.55893,218.20709,240.21373,74.67867,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,872.28302,529.22760,501.37036,262.64136,186.87900,130.98239,140.72685,93.64636,286.49463,217.36047,250.20020,74.97079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,448.66989,361.97833,306.25510,140.93257,69.95727,65.20123,62.56112,36.96477,101.77726,102.67988,105.55458,29.18923,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,455.37793,245.19324,233.50230,116.35973,72.71689,45.23131,48.85057,30.76180,98.41637,66.26480,76.67546,23.11517,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,756.36029,308.09683,311.76889,216.70886,105.80794,49.79022,57.13964,49.54105,172.58524,87.91058,108.08806,43.58675,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,482.65134,247.06068,226.80762,130.89458,62.48636,36.95070,38.47021,27.93037,101.62724,65.05180,72.56116,24.76595,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,220.83006,92.54801,101.39500,55.38217,25.88365,12.53146,15.57038,10.66494,46.35942,24.29551,32.34196,10.36493,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1383.69019,495.95795,518.83417,391.05060,388.87875,161.02286,191.03775,178.60963,525.03290,235.32681,299.12045,127.77013,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,369.37354,127.28305,126.63918,97.46832,35.99839,14.33030,16.16965,15.38932,80.82487,34.82803,42.10341,18.21569,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,545.23627,291.30865,279.04535,169.67618,101.42455,62.60069,68.00618,52.18505,151.63608,101.30952,117.91325,41.43839,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1562.43188,713.06866,591.32886,492.73233,270.34253,142.53186,134.04716,139.02673,684.31512,390.54001,393.50861,169.13666,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1237.87671,534.95557,552.57898,342.54736,247.67126,123.64694,144.84645,112.44423,408.37729,220.68921,276.98007,96.03352,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,588.27264,310.75494,275.47137,119.22293,257.56238,157.17703,158.01392,86.14681,221.98186,146.63443,157.93750,42.79509,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,137.21913,55.35146,55.70572,36.71207,11.00107,5.12645,5.85107,4.80707,27.67383,13.95927,17.06964,6.40750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,309.87283,120.86752,107.49638,64.16228,29.61265,13.34353,13.45869,9.97001,68.02387,33.17924,35.85434,12.05901,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,805.90118,354.03378,291.07101,187.71568,111.24220,56.45467,52.63831,42.23234,229.55269,126.10272,125.97071,44.45585,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,230.82191,138.64339,119.25327,50.95155,247.97972,172.07019,167.85132,90.72353,89.89599,67.52141,70.56731,23.45280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,391.92682,181.48279,181.90558,108.50995,46.87432,25.07453,28.50305,21.34795,108.11263,62.60166,76.24080,24.93914,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,235.35442,132.80548,116.22457,60.32244,18.90483,12.32349,12.23105,8.01579,54.71503,38.60818,41.05368,11.78499,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,88.41620,63.61443,64.85706,18.66220,99.85084,82.99326,95.96046,35.53925,37.27780,33.53923,41.54757,9.42864,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,905.76630,411.99826,449.48282,286.70578,192.87045,101.34734,125.39432,100.59476,318.71240,181.28305,240.30667,85.71554,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
