NUTS3_addit_demolition,ene_sfh_1977,ene_sfh_77_90,ene_sfh_90_17,ene_sfh_2017__,ene_mfh_1977,ene_mfh_77_90,ene_mfh_90_17,ene_mfh_2017__,ene_nres_1977,ene_nres_77_90,ene_nres_90_17,ene_nres_2017__,XXX,ene_total_2017,ene_res_2017,ene_nres_2017,ene_total,ene_re,ene_nres,ene_new
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1845.76099,142.31573,155.80037,57.51909,4939.36182,440.71686,551.55469,204.72809,4768.20020,434.59619,565.31342,220.57466,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,3012.64575,909.66107,620.24048,101.55949,1697.88330,593.26776,462.42850,79.13708,1775.16064,633.61176,513.32391,82.38396,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1172.61841,443.01407,366.68756,49.52945,214.26601,93.67538,88.63748,12.73131,431.30597,192.61949,189.43782,22.88143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1255.47241,809.85297,692.98621,58.61798,190.06981,141.88078,138.78906,12.85194,350.01651,266.89569,271.36118,21.80707,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1141.76550,642.70868,581.72583,48.25346,233.53101,152.12245,157.40219,14.22769,395.60419,263.24017,283.10281,22.08021,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,565.74188,446.99347,351.02957,25.23077,84.04738,76.84550,68.98811,5.46484,135.60402,126.65122,118.17883,8.40453,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,609.42529,294.21982,268.09933,20.76107,92.99848,51.95636,54.12224,4.53321,139.08537,79.37558,85.94062,6.63719,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1057.96826,352.12967,348.99728,40.81087,141.95197,54.67424,61.94630,7.70834,255.44177,100.50226,118.35402,13.17914,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,655.67151,295.11060,255.49254,24.13494,81.19392,42.28959,41.85430,4.25111,145.97119,77.66399,79.89156,7.34681,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,304.34143,105.70407,116.97455,9.98890,34.11239,13.71053,17.34471,1.58722,67.52256,27.72257,36.45197,3.00879,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1972.48901,550.47565,571.38934,80.56835,533.75830,172.37708,204.54404,30.46506,791.98230,261.27200,322.23654,42.05012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,531.37152,140.13191,135.44633,17.58344,49.77339,15.18964,16.78382,2.28981,123.35656,38.45520,44.16447,5.29890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,730.94977,349.13797,320.12967,33.89317,130.01526,71.86462,75.32816,8.61899,214.64824,121.19672,132.04062,13.24969,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,2192.01562,843.57233,628.64264,97.53622,364.68372,162.40764,138.35703,22.75950,1017.15308,462.72086,409.72113,53.68316,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1710.95435,618.68835,628.05609,67.12096,328.21185,137.34070,159.38190,18.22147,596.49414,254.97276,307.54453,30.13964,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,799.67291,374.44302,309.14059,20.30152,335.71390,181.90892,171.68707,12.13152,318.35135,176.21141,172.85905,11.73049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,192.24483,63.10181,62.13778,6.76509,14.74307,5.59998,6.30396,0.72944,41.05397,15.92929,18.63795,1.90196,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,441.90500,138.04248,113.73182,10.99556,40.56397,14.66344,13.81078,1.40780,102.90189,37.99804,37.19788,3.35532,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1137.77673,416.02121,306.24573,35.87162,151.00681,63.89493,53.76927,6.66221,343.58734,148.50792,129.89485,13.69812,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,309.09177,170.05069,134.85434,9.03847,317.53073,202.15671,183.26854,13.29732,126.51451,82.27830,77.52818,6.63592,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,536.46741,212.45430,207.27245,21.03835,61.36104,28.12071,31.36286,3.41611,156.44142,73.23655,84.89688,7.76322,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,315.56897,160.76430,130.85634,10.44638,24.16376,14.24529,13.25531,1.14240,77.58913,46.72510,45.19009,3.29825,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,110.44920,78.05479,78.15667,3.14102,118.47257,96.88715,110.90368,4.93753,48.76086,40.73450,48.46371,2.52852,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,1231.98755,479.11258,522.35791,54.25651,251.03406,112.97316,140.80537,15.75177,457.53397,210.33356,272.47522,25.94788,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
