NUTS3_addit_demolition,share_sfh_1977,share_sfh_77_90,share_sfh_90_17,share_sfh_2017__,share_mfh_1977,share_mfh_77_90,share_mfh_90_17,share_mfh_2017__,share_nres_1977,share_nres_77_90,share_nres_90_17,share_nres_2017__
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,0.18191,0.27985,0.09955,1.00000,0.09170,0.12007,0.04332,1.00000,0.18736,0.34195,0.13265,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
